Speed/Mbps,rTime_1,rByte_1
100,107,1267712
110,120,1316864
120,115,1148928
130,99,1179648
140,106,1101824
150,102,1264640
160,103,1391616
170,111,1854464
180,122,1925120
190,119,2060288
200,146,1821696
210,161,2420736
220,140,2091008
230,136,2473984
240,111,2055168
250,110,2617344
260,101,2302976
270,111,2513920
280,124,2608128
290,131,2705408
300,131,2922496
310,110,2107392
320,122,3106816
330,126,2515968
340,122,2851840
350,126,3064832
360,114,2979840
370,135,3104768
380,132,3288064
390,121,3538944
400,127,3180544
410,140,2892800
420,124,2661376
430,117,3195904
440,179,3692544
450,159,3807232
460,150,3265536
470,144,4169728
480,150,3765248
490,140,2688000
500,148,3864576
